[10.4189,10.1124,10.304,10.304,10.2273,10.304,10.2273,10.0741,10.304,10.3423,10.304,10.2273,10.2657,10.2273,10.1124,10.2273,10.189,10.2273,10.2657,10.4189,10.2273,10.1507,10.2273,10.1124,10.304,10.189,10.2273,10.189,10.3806, 10.4955] 
[10.2657,10.1507,10.2657,10.2273,10.2657,10.304,10.2273,10.304,10.2273,10.2657,10.2657,10.2273,10.1507,10.3423,10.2657,10.2657,10.189,10.2657,10.304,10.2273,10.189,10.4189,10.2273,10.4189,10.304,10.2657,10.4189,10.3423,10.3423, 10.2657] 
[10.2273,10.2657,10.2273,10.304,10.189,10.2657,10.4572,10.2273,9.99752,10.2657,10.3806,10.304,10.3806,10.2273,10.2273,10.2657,10.1124,10.3806,10.304,10.189,10.2273,10.4572,10.1124,10.2273,10.189,10.2657,10.2657,10.4572,10.1124, 10.2273] 
[41104,40832,40656,40672,40656,42000,40624,40672,40608,40560,40560,40704,40656,40576,43123,40480,40448,40064,40544,40512,40528,40448,40528,40544,40448,40496,40528,40496,40512, 40496] 
46,159,9,28,,,,,,,,,,,,,,,,,,,,,,,,,,
[10.1507,10.189,10.2273,10.304,10.2657,10.2273,10.3806,10.304,10.189,10.2273,10.2273,10.3423,10.189,10.189,10.304,10.1124,10.304,10.2657,10.1507,10.189,10.2273,10.304,10.189,10.189,10.304,10.2273,10.189,10.2273,10.189, 10.4189] 
[10.2657,10.2657,10.1507,10.1124,10.1507,9.34634,10.1124,10.2273,10.304,10.3806,10.304,10.0741,10.1124,10.3423,10.189,10.1124,10.1124,10.304,10.5721,10.304,10.189,10.189,10.1124,10.1507,10.3806,10.3423,10.189,10.304,10.1507, 10.3806] 
[10.189,10.2657,10.1507,10.304,10.304,10.2657,10.2657,10.2273,10.1507,10.1507,10.4189,10.3806,10.2273,10.304,10.2657,10.304,10.304,10.3806,10.4572,10.304,10.3423,10.3806,10.2273,10.189,10.4189,10.4955,10.189,9.92091,10.304, 10.2657] 
[42156,43376,42784,41248,41392,42128,41392,40912,39216,38720,43344,41872,39088,37424,40176,43296,40400,40080,40992,41312,41504,38288,39616,42144,38304,39296,42624,39536,38272, 38128] 
72,1726,13,28,,,,,,,,,,,,,,,,,,,,,,,,,,
